Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume,Result
2/1/2002,10607.46,11368.12988,11368.12988,11241.62988,11350.84961,11350.84961,106074600,0
3/1/2002,27462.62,11348.79981,11447,11348.79981,11423.51953,11423.51953,274626200,1
4/1/2002,36255.36,11547.00977,11727.80957,11547.00977,11702.15039,11702.15039,362553600,1
7/1/2002,44238.7,11687.42969,11905.54981,11687.42969,11892.63965,11892.63965,442387000,1
8/1/2002,27950.46,11781.19043,11806.25,11678.05957,11713.70996,11713.70996,279504600,0
9/1/2002,42871.16,11711.76953,11783.7002,11369.62988,11440.71973,11440.71973,428711600,0
10/1/2002,35478.34,11361.08984,11361.08984,11168.88965,11256.07031,11256.07031,354783400,0
11/1/2002,31621.66,11278.86035,11351.75,11085.46973,11166.45996,11166.45996,316216600,0
14/1/2002,21014,11081.37988,11213.86035,11029.21973,11209.42969,11209.42969,210140000,1
15/1/2002,23046.82,11071.49023,11071.49023,10965.24023,11013.58984,11013.58984,230468200,0
16/1/2002,19457.38,11035.49023,11080.54981,10910.75,10964.08984,10964.08984,194573800,0
17/1/2002,22162.9,10888.11035,11020.20996,10808,11013.83984,11013.83984,221629000,1
18/1/2002,37382.94,11023.79004,11065.53027,10934.00977,10972.95996,10972.95996,373829400,0
21/1/2002,21315.14,10967.08984,11083.16992,10941.46973,11000.25,11000.25,213151400,1
22/1/2002,25146.96,10991.40039,10997.90039,10778.78027,10797.69043,10797.69043,251469600,0
23/1/2002,22515.76,10750.98047,10793.07031,10689.05957,10762.13965,10762.13965,225157600,1
24/1/2002,19948.08,10796.80957,10847.53027,10690.62988,10741.45996,10741.45996,199480800,0
25/1/2002,29067.4,10789,10842.46973,10718.26953,10772.95996,10772.95996,290674000,0
28/1/2002,25761.26,10749.08008,10891.58984,10748.09961,10767.45996,10767.45996,257612600,1
29/1/2002,37883.98,10774.61035,11041.82031,10744.13965,11014.24023,11014.24023,378839800,1
30/1/2002,29519.5,10895.7002,10895.7002,10699.94043,10756.95996,10756.95996,295195000,0
31/1/2002,26764.8,10797.99023,10953.57031,10671.76953,10725.29981,10725.29981,267648000,0
1/2/2002,19221.7,10764.03027,10827.38965,10673.66016,10691.25,10691.25,192217000,0
4/2/2002,26787.18,10680.32031,10806.67969,10661.12988,10721.32031,10721.32031,267871800,1
5/2/2002,29211.6,10627.84961,10636.23047,10541.28027,10609.19043,10609.19043,292116000,0
6/2/2002,23861.36,10590.25977,10633.12012,10542.29004,10592.38965,10592.38965,238613600,1
7/2/2002,41940.28,10556.29004,10601.29981,10393.83008,10409.67969,10409.67969,419402800,0
8/2/2002,25918.54,10441.19043,10526.75,10421.48047,10518.99023,10518.99023,259185400,1
11/2/2002,18473.82,10596.05957,10843.25977,10596.05957,10832.74023,10832.74023,184738200,1
12/2/2002,#VALUE!,null,null,null,null,null,null,0
13/2/2002,#VALUE!,null,null,null,null,null,null,0
14/2/2002,#VALUE!,null,null,null,null,null,null,0
15/2/2002,29240.66,11005.84961,11108.48047,10914.70996,10961.87988,10961.87988,292406600,0
18/2/2002,18104.26,10905.49023,11007,10867.82031,11002.80957,11002.80957,181042600,1
19/2/2002,16732.6,10997.90039,10997.90039,10794.2002,10840.49023,10840.49023,167326000,0
20/2/2002,19353.02,10777.38965,10777.38965,10685.37988,10749.05957,10749.05957,193530200,0
21/2/2002,18640.36,10807.92969,10871.09961,10732.62988,10788.90039,10788.90039,186403600,0
22/2/2002,15575.22,10730.20996,10730.20996,10579.80957,10664.94043,10664.94043,155752200,0
25/2/2002,19198.46,10679,10683.63965,10468.9502,10496.01953,10496.01953,191984600,0
26/2/2002,20761.58,10581.79004,10667.57031,10536.74023,10547.12988,10547.12988,207615800,0
27/2/2002,26826.24,10541.19043,10757.11035,10524.76953,10648.70996,10648.70996,268262400,1
28/2/2002,25870.36,10660.75977,10677.16016,10415.65039,10482.54981,10482.54981,258703600,0
1/3/2002,18668.34,10453.87988,10473.01953,10387.49023,10425.30957,10425.30957,186683400,0
4/3/2002,27964.96,10593.76953,10720.12012,10561.37988,10704.12012,10704.12012,279649600,1
5/3/2002,35022.2,10883.29004,11004.04004,10883.29004,10985.83984,10985.83984,350222000,1
6/3/2002,27068.88,10954.75,11040.75,10933.42969,11003,11003,270688800,1
7/3/2002,48308.8,11102.36035,11246.30957,11102.36035,11188.07031,11188.07031,483088000,1
8/3/2002,36093.18,11201.28027,11331.12012,11201.28027,11233.23047,11233.23047,360931800,1
11/3/2002,26434.14,11234.53027,11334.30957,11178.67969,11318.87012,11318.87012,264341400,1
12/3/2002,27570.68,11304.91016,11381.84961,11242.23047,11273.86035,11273.86035,275706800,0
13/3/2002,23968.14,11214.84961,11306.88965,11185.50977,11217.5,11217.5,239681400,1
14/3/2002,27310.54,11202.86035,11333.51953,11163.11035,11303.7002,11303.7002,273105400,1
15/3/2002,23045.02,11280.99023,11363.70996,11150.5,11210.25,11210.25,230450200,0
18/3/2002,24082.12,11224.32031,11317.75,11168.32031,11230.63965,11230.63965,240821200,1
19/3/2002,30541.6,11242.25,11302.38965,11195.07031,11222.83008,11222.83008,305416000,0
20/3/2002,25433.96,11136.29981,11176.58984,10996.36035,11036.59961,11036.59961,254339600,0
21/3/2002,34584.72,10950.78027,10950.78027,10810.90039,10829.73047,10829.73047,345847200,0
22/3/2002,21152.62,10839.87012,10919.45996,10811.87988,10863.07031,10863.07031,211526200,1
25/3/2002,20191.55,10855.23047,10867.01953,10785.62012,10836.63965,10836.63965,201915500,0
26/3/2002,18053.25,10781.16016,10792.83008,10715.04981,10786.91992,10786.91992,180532500,1
27/3/2002,25062.52,10819.84961,11022.83008,10819.84961,10987.87988,10987.87988,250625200,1
28/3/2002,21485.54,11025.03027,11075.40039,10972.11035,11032.91992,11032.91992,214855400,1
29/3/2002,#VALUE!,null,null,null,null,null,null,0
1/4/2002,#VALUE!,null,null,null,null,null,null,0
2/4/2002,27431.46,11032.36035,11055.98047,10816.73047,10878.04004,10878.04004,274314600,0
3/4/2002,14443.38,10831.23047,10853.87988,10783,10833.95996,10833.95996,144433800,1
4/4/2002,17081.56,10766.55957,10838.21973,10747.99023,10831.37012,10831.37012,170815600,1
5/4/2002,#VALUE!,null,null,null,null,null,null,0
8/4/2002,22792.82,10833.16016,10856.63965,10702.44043,10723.67969,10723.67969,227928200,0
9/4/2002,14460.68,10711.08008,10791.08984,10688.69043,10733.69043,10733.69043,144606800,1
10/4/2002,20143.5,10692.9502,10692.9502,10610.75977,10643.13965,10643.13965,201435000,0
11/4/2002,16709.64,10748.4502,10829.04004,10720.66016,10744.91016,10744.91016,167096400,0
12/4/2002,15912.44,10653.82031,10717.54981,10630.41016,10710.48047,10710.48047,159124400,1
15/4/2002,13952.84,10720.41016,10764.48047,10697.46973,10727.98047,10727.98047,139528400,1
16/4/2002,16638.58,10745.2002,10797.13965,10690.46973,10788.53027,10788.53027,166385800,1
17/4/2002,35262.12,10938.69043,11090.58008,10929.07031,11090.58008,11090.58008,352621200,1
18/4/2002,34736.04,11102.67969,11222.38965,11070.79981,11217.15039,11217.15039,347360400,1
19/4/2002,32209.16,11166.5,11285.04981,11135.04004,11252.17969,11252.17969,322091600,1
22/4/2002,27180.56,11259.04004,11301.66992,11134.16992,11139.41992,11139.41992,271805600,0
23/4/2002,36099.6,11102.23047,11355.11035,11102.23047,11345.17969,11345.17969,360996000,1
24/4/2002,30156.32,11362.65039,11417.46973,11305.65039,11396.57031,11396.57031,301563200,1
25/4/2002,29790.96,11394.04004,11439.58984,11351.79004,11409.29004,11409.29004,297909600,1
26/4/2002,26987.16,11449.40039,11461.58984,11348.80957,11385.08008,11385.08008,269871600,0
29/4/2002,20498.12,11329.91016,11371.12012,11260.87988,11361.49023,11361.49023,204981200,1
